Date,Open,High,Low,Close,Adj Close,Volume
2020-05-18,4125.500000,4125.500000,3956.500000,4019.000000,4019.000000,12312
2020-05-19,4096.500000,4128.000000,4034.500000,4062.500000,4062.500000,11160
2020-05-20,4103.500000,4153.000000,4070.000000,4129.000000,4129.000000,10080
2020-05-21,4130.000000,4155.000000,4040.000000,4040.000000,4040.000000,4968
2020-05-22,4037.000000,4037.000000,3778.000000,3897.500000,3897.500000,7632
2020-05-26,3704.000000,4040.000000,3697.500000,4023.500000,4023.500000,11088
2020-05-27,3961.500000,3961.500000,3550.000000,3750.000000,3750.000000,4104
2020-05-28,3750.000000,3922.000000,3750.000000,3829.500000,3829.500000,6696
2020-05-29,3700.000000,3851.500000,3700.000000,3850.000000,3850.000000,8640
2020-06-01,4000.000000,4025.000000,3900.000000,4011.000000,4011.000000,4248
2020-06-02,4052.000000,4052.000000,3890.000000,3970.000000,3970.000000,4608
2020-06-03,3970.000000,4025.000000,3930.000000,3960.000000,3960.000000,4176
2020-06-04,3960.000000,4032.000000,3960.000000,4017.000000,4017.000000,3384
2020-06-05,4000.000000,4100.000000,3950.000000,4082.500000,4082.500000,3744
2020-06-08,4100.000000,4187.000000,4037.000000,4119.500000,4119.500000,5832
2020-06-09,4180.000000,4320.000000,4152.500000,4283.500000,4283.500000,3600
2020-06-10,4420.000000,4430.000000,4270.000000,4273.000000,4273.000000,8496
2020-06-11,4300.000000,4338.000000,4035.000000,4165.000000,4165.000000,8784
2020-06-12,4215.000000,4215.000000,3874.000000,4065.000000,4065.000000,4320
2020-06-16,4100.000000,4100.000000,4020.000000,4040.500000,4040.500000,2304
2020-06-17,4100.000000,4149.500000,3990.000000,4001.000000,4001.000000,2304
2020-06-18,4083.000000,4200.000000,4040.000000,4065.500000,4065.500000,13464
2020-06-19,4200.000000,4200.000000,4064.000000,4112.000000,4112.000000,1872
2020-06-22,4114.000000,4360.000000,4114.000000,4251.500000,4251.500000,2808
2020-06-23,4300.000000,4300.000000,4178.500000,4210.000000,4210.000000,2952
2020-06-24,4210.000000,4250.000000,4140.000000,4160.500000,4160.500000,6480
2020-06-25,4165.000000,4220.000000,4110.000000,4110.000000,4110.000000,3888
2020-06-26,4112.000000,4181.000000,4000.000000,4000.000000,4000.000000,4392
2020-06-29,3802.000000,3996.000000,3802.000000,3842.000000,3842.000000,3816
2020-06-30,4258.000000,4258.000000,3956.000000,4039.500000,4039.500000,1944
2020-07-01,4050.000000,4375.000000,4050.000000,4356.000000,4356.000000,4176
2020-07-02,4395.000000,4534.000000,4332.000000,4450.000000,4450.000000,15120
2020-07-03,4550.000000,4580.000000,4444.000000,4550.000000,4550.000000,2520
2020-07-06,4550.000000,4670.000000,4452.000000,4469.500000,4469.500000,15120
2020-07-07,4709.000000,4709.000000,4572.000000,4624.500000,4624.500000,8064
2020-07-08,4700.000000,4715.000000,4605.000000,4700.000000,4700.000000,4320
2020-07-13,4780.000000,5100.000000,4780.000000,4800.000000,4800.000000,8928
2020-07-14,4795.000000,4829.000000,4610.000000,4750.000000,4750.000000,8424
2020-07-15,4824.000000,4824.000000,4682.000000,4805.000000,4805.000000,4824
2020-07-16,4704.000000,4866.500000,4630.000000,4839.500000,4839.500000,5112
2020-07-17,4854.500000,4912.500000,4740.500000,4845.000000,4845.000000,2592
2020-07-20,5125.000000,5335.000000,5042.500000,5307.500000,5307.500000,4176
2020-07-21,5300.000000,5340.000000,5134.000000,5340.000000,5340.000000,7272
2020-07-22,5243.000000,5243.000000,5000.000000,5059.500000,5059.500000,18504
2020-07-23,5050.000000,5050.000000,4690.500000,4794.500000,4794.500000,12024
2020-07-24,4700.000000,4950.000000,4583.500000,4896.500000,4896.500000,9936
2020-07-27,5017.000000,5025.000000,4875.000000,4987.000000,4987.000000,5472
2020-07-28,4920.000000,5200.000000,4920.000000,5169.000000,5169.000000,4104
2020-07-29,5200.000000,5200.000000,4937.000000,5050.000000,5050.000000,7200
2020-07-30,5099.000000,5278.500000,4970.000000,5223.500000,5223.500000,14206
2020-07-31,5484.000000,5525.000000,5350.000000,5499.500000,5499.500000,20007
2020-08-03,5577.000000,5577.000000,5305.000000,5341.000000,5341.000000,29622
2020-08-04,5340.000000,5350.000000,5000.000000,5331.000000,5331.000000,12926
2020-08-05,5449.000000,5480.000000,5220.000000,5452.500000,5452.500000,9512
2020-08-06,5454.500000,5600.000000,5355.000000,5568.000000,5568.000000,5922
2020-08-07,5599.000000,5700.000000,5549.000000,5655.500000,5655.500000,9680
2020-08-10,5671.000000,5671.000000,5400.000000,5610.000000,5610.000000,6257
2020-08-11,5655.000000,5659.000000,5507.000000,5575.000000,5575.000000,4494
2020-08-12,5600.000000,5841.000000,5581.000000,5794.500000,5794.500000,8814
2020-08-13,5970.000000,5970.000000,5740.000000,5769.500000,5769.500000,5872
2020-08-14,5900.000000,5900.000000,5553.000000,5603.500000,5603.500000,11728
2020-08-18,5800.000000,6000.000000,5750.000000,5991.000000,5991.000000,6077
2020-08-19,5994.000000,6030.000000,5880.000000,6010.000000,6010.000000,7964
2020-08-20,6149.000000,6299.000000,6050.000000,6224.000000,6224.000000,18254
2020-08-21,6325.000000,6325.000000,6110.000000,6157.000000,6157.000000,23344
2020-08-24,6325.000000,6367.000000,6035.000000,6127.000000,6127.000000,14617
2020-08-25,6198.000000,6249.000000,6080.000000,6207.500000,6207.500000,7645
2020-08-26,6230.000000,6230.000000,5900.000000,6179.500000,6179.500000,9950
2020-08-27,6159.000000,6160.000000,5910.000000,5956.000000,5956.000000,10800
2020-08-28,6000.000000,6000.000000,5694.000000,5959.500000,5959.500000,5308
2020-08-31,6000.000000,6220.000000,5990.000000,6198.000000,6198.000000,8076
2020-09-01,6215.000000,6300.000000,6120.000000,6171.000000,6171.000000,6335
2020-09-02,6250.000000,6300.000000,6100.000000,6130.000000,6130.000000,6217
2020-09-03,6085.000000,6085.000000,5710.000000,5755.000000,5755.000000,19993
2020-09-04,5660.000000,5775.000000,5116.000000,5735.500000,5735.500000,13114
2020-09-07,5736.000000,5900.000000,5735.500000,5775.000000,5775.000000,2866
2020-09-08,5600.000000,5600.000000,5325.000000,5351.000000,5351.000000,8483
2020-09-09,5385.000000,5800.000000,5385.000000,5778.000000,5778.000000,8684
2020-09-10,5900.000000,6030.000000,5610.000000,5681.000000,5681.000000,9115
2020-09-11,5750.000000,5750.000000,5540.000000,5600.500000,5600.500000,6672
2020-09-14,5799.000000,5799.000000,5552.000000,5601.500000,5601.500000,3408
