Date,Open,High,Low,Close,Adj Close,Volume
2019-11-25,2250.000000,2255.000000,2227.000000,2235.000000,2234.848145,785
2019-11-26,2240.000000,2246.000000,2198.500000,2225.000000,2224.848877,405
2019-11-27,2250.000000,2250.000000,2068.500000,2224.000000,2223.848877,1565
2019-11-28,2250.000000,2290.000000,2190.000000,2250.000000,2249.847168,500
2019-11-29,2298.000000,2299.500000,2222.000000,2294.000000,2293.844238,1385
2019-12-02,2294.000000,2294.000000,2200.000000,2255.000000,2254.846680,605
2019-12-03,2255.000000,2288.500000,2195.000000,2213.500000,2213.349609,11465
2019-12-04,2260.000000,2300.000000,2220.000000,2290.500000,2290.344238,2420
2019-12-05,2290.500000,2391.000000,2290.500000,2377.000000,2376.838379,2335
2019-12-06,2400.000000,2469.000000,2372.000000,2395.500000,2395.337158,1985
2019-12-09,2430.000000,2466.000000,2300.000000,2325.000000,2324.842041,2890
2019-12-10,2330.000000,2335.000000,2259.000000,2285.000000,2284.844727,465
2019-12-11,2266.000000,2317.000000,2250.500000,2317.000000,2316.842529,390
2019-12-12,2318.000000,2330.000000,2208.500000,2253.500000,2253.346924,920
2019-12-13,2270.000000,2299.000000,2248.000000,2288.000000,2287.844482,545
2019-12-16,2388.000000,2395.000000,2340.000000,2356.500000,2356.339844,3740
2019-12-17,2400.000000,2419.000000,2302.000000,2326.000000,2325.841797,1905
2019-12-18,2352.000000,2352.000000,2257.500000,2270.000000,2269.845703,690
2019-12-19,2279.000000,2296.500000,2243.500000,2276.000000,2275.845459,6530
2019-12-20,2280.000000,2344.000000,2280.000000,2296.000000,2295.843994,2055
2019-12-23,2390.000000,2390.000000,2247.500000,2267.000000,2266.845947,1435
2019-12-26,2235.000000,2320.000000,2235.000000,2297.000000,2296.843994,1055
2019-12-27,2320.000000,2340.000000,2313.000000,2333.500000,2333.341309,750
2019-12-30,2250.000000,2345.500000,2228.000000,2340.000000,2339.840820,1575
2020-01-02,2400.000000,2436.000000,2340.000000,2400.000000,2399.836914,1100
2020-01-03,2390.000000,2434.500000,2344.500000,2431.500000,2431.334717,1470
2020-01-06,2445.000000,2465.000000,2401.500000,2459.000000,2458.832764,5275
2020-01-07,2468.000000,2508.000000,2444.500000,2465.000000,2464.832520,940
2020-01-08,2465.000000,2500.000000,2446.500000,2483.500000,2483.331299,1015
2020-01-09,2500.000000,2560.500000,2487.500000,2534.500000,2534.327881,2380
2020-01-10,2555.000000,2600.000000,2500.000000,2594.500000,2594.323730,1645
2020-01-13,2585.000000,2640.000000,2540.000000,2640.000000,2639.820801,1890
2020-01-14,2650.000000,2681.500000,2621.500000,2640.000000,2639.820801,1045
2020-01-15,2645.000000,2671.000000,2620.000000,2669.000000,2668.818604,920
2020-01-16,2700.000000,2712.000000,2669.000000,2700.000000,2699.816406,890
2020-01-17,2745.000000,2750.500000,2675.000000,2684.500000,2684.317627,1835
2020-01-20,2750.000000,2750.000000,2700.000000,2745.000000,2744.813477,765
2020-01-21,2750.000000,2754.500000,2697.500000,2706.500000,2706.316162,2310
2020-01-22,2701.000000,2749.500000,2700.000000,2719.500000,2719.315186,1630
2020-01-23,2719.000000,2781.000000,2710.000000,2779.000000,2778.811279,7250
2020-01-24,2781.500000,2928.000000,2737.000000,2752.500000,2752.312988,3410
2020-01-27,2745.000000,2756.000000,2643.000000,2740.500000,2740.313721,2595
2020-01-28,2737.000000,2810.000000,2737.000000,2806.500000,2806.309326,91585
2020-01-29,2882.500000,2884.000000,2806.000000,2842.000000,2841.806885,2735
2020-01-30,2948.000000,2948.000000,2880.000000,2901.500000,2901.302734,3965
2020-01-31,2908.000000,2936.000000,2890.500000,2925.500000,2925.301270,1740
2020-02-03,2930.000000,2950.000000,2900.000000,2939.500000,2939.300293,1490
2020-02-04,3032.000000,3056.000000,2970.000000,3049.500000,3049.292725,1940
2020-02-05,3150.000000,3150.000000,3013.500000,3030.000000,3029.794189,2740
2020-02-06,3079.500000,3109.500000,3032.000000,3095.000000,3094.789795,2805
2020-02-07,3150.000000,3156.000000,3081.500000,3095.000000,3094.789795,2715
2020-02-10,3090.000000,3180.000000,3090.000000,3150.000000,3149.785889,1945
2020-02-11,3161.000000,3266.000000,3110.000000,3115.000000,3114.788330,2750
2020-02-12,3115.000000,3153.000000,3030.000000,3078.000000,3077.790771,1590
2020-02-13,3078.500000,3140.000000,3054.000000,3103.500000,3103.289307,43675
2020-02-14,3110.000000,3115.000000,3055.000000,3076.500000,3076.290771,1260
